id,name,categories_title,latitude,longitude,rating,review_count,price,address1,city,zip_code
Yxm-yrQnZ75xvEPaD74SQA,Sauvage Restaurant,Canadian (New),51.09010867172521,-115.35798996059587,4.4,25,,633 10 street,Canmore,T1W 2A2
xtatx8c7UF3eBN9UHUzpMQ,RG Lounge In Elk + Avenue,Bars,51.1797956123357,-115.570411751447,0.0,0,,333 Banff Ave,Banff,T1L
iXKJ7nrQRZa7NSLuhFGvbQ,Hy Five,Pubs,51.0902302036697,-115.358186423115,5.0,1,,1000 6th Avenue,Canmore,T1W 2A2
nZ7iViL2KKw9sV-Dcee0Xg,Grizzly Paw Pub Order Desk,Pubs,51.08946,-115.35727,3.2,6,$$,622 Main Street,Canmore,T1W 2B5
peeVVSq_N-imptEPwSlAsg,Royal Canadian Legion,Pubs,51.0884049,-115.3631198,4.5,2,,834 7 Street,Canmore,T1W 2C8
qwVLi2KEYXIqHRpYcp6tmA,Änkôr,Canadian (New),51.09541,-115.35471,4.8,35,,1430 2 Avenue,Canmore,T1W 1M9
qTZCKhbuBIaGVaBCUAppQQ,Sheepdog Brewing,Breweries,51.07609,-115.32004,4.7,17,,105 Bow Meadows Crescent,Canmore,T1W 2W8
2Nd9FbqvFf9Ig5_D3VpExw,Voyageur Lounge,Lounges,51.1853554020343,-115.557230114937,0.0,0,,555 Banff Avenue,Banff,T1L 1B5
Tnm5c6672Yc40TvdvVFrRw,Rocket Pie,Pizza,51.08871703351512,-115.34611701968136,4.6,74,,101-304 Old Canmore Road,Canmore,T1W 0L5
8m60zRCK0ZVOBinhFHa2bg,The Bankhead,Breakfast & Brunch,51.09662,-115.35641,4.7,36,,1602 2nd Avenue,Canmore,T1W 1M8
iL77-jx2w0woXsJNU9cDqA,Das Schnitzelhaus,German,51.08940544,-115.35929267,4.2,29,,714 8 Street,Canmore,T1W 2B6
E4DKaFkEtdfR_H8Q0ebqPQ,One Love Carribean Cafe,Desserts,51.087406073078384,-115.3265568723198,4.5,2,,709 Benchlands Trail,Canmore,T1W 3G9
e_OvefTiq0i96_O_Xqb8Qg,1890 Smokehouse,Bars,51.0893649,-115.3606197,2.5,6,,738 8 Street,Canmore,T1W 2B6
0yDHv_clOncOHGsg4iyVBQ,The Grande Kitchen + Bar,Bars,51.09011057888096,-115.3492883213066,4.5,44,,901 Mountain Street,Canmore,T1W 0C9
6TxhTgeGvx3t6BD_K7xDjw,Mineshaft Tavern,Pubs,51.084486,-115.349041,4.3,3,,808 Spring Creek Drive,Canmore,T1W 0A2
akDzZgjlAXdSwkk82iJNuQ,Stirling Lounge,Lounges,51.08687119024185,-115.3523461615158,3.5,31,,321 Spring Creek Drive,Canmore,T1W 2G2
DJ8tz-fOZTAozMm6hkWVUA,Rhythm and Howl,Bars,51.093278,-115.344623,3.9,9,,1 Silvertip Trail,Canmore,T1W 2Z7
0b3cEJPZujvM9iIhrsjJag,Canmore Hotel Restaurant,Pubs,51.0893649,-115.3606197,4.0,5,,738 8 St,Canmore,T1W 2B6
-pJnTyF55Vtg-sOFfeMGXw,Après Canmore,Salad,51.0894229,-115.362957,4.7,3,,838 8 Street,Canmore,T1W 2B7
cQTfLo-Gyibzk842FqpdJA,The Local,Cocktail Bars,51.0894419,-115.3595582,5.0,1,,718 Main Street,Canmore,T1W 2B6
3uWKS214-G01TI36WxJTOw,Barclay Grey,Pubs,57.5838203,-2.72826,0.0,0,,Overtown,Banff,AB45 2HP
CJyeNBwp-jJWt9dG_duSeA,Fairmont Banff Springs,Hotels,51.164319,-115.561825,4.1,391,$$$$,405 Spray Avenue,Banff,T1L 1J4
